development,scenario,origin_access_savings,destination_access_savings,access_savings,network_savings,total_tts,positive_tts,monetized_savings_yearly,monetized_savings
557,scenario_19,2079.729322753436,2079.729322753436,4159.458645506872,260561.48799847928,264720.94664398604,True,86585809.63147043,4329290481.573522
254,scenario_19,2552.964667061937,2552.9646670619404,5105.929334123877,258929.3610562112,264035.2903903348,True,86361542.89850533,4318077144.925266
152,scenario_19,2068.3857360220754,2068.385736022079,4136.7714720441545,229149.81394764315,233286.58541968695,True,76304153.98102261,3815207699.051131
9,scenario_19,2272.4338783836683,2272.4338783836683,4544.867756767337,222826.03714037337,227370.90489714057,True,74369233.47677305,3718461673.8386526
254,scenario_30,2552.9646676869124,2552.964667686916,5105.9293353738285,114405.4683758486,119511.39771122253,True,39090186.33471237,1954509316.735618
557,scenario_30,2079.7293226874062,2079.7293226874062,4159.4586453748125,114644.10929855076,118803.5679439255,True,38858667.0149923,1942933350.7496147
152,scenario_30,2068.3857363761417,2068.385736376138,4136.77147275228,101451.42122318514,105588.19269593748,True,34536138.02762955,1726806901.3814774
9,scenario_30,2272.433878361171,2272.433878361171,4544.867756722342,98713.0026681706,103257.870424893,True,33773928.45147541,1688696422.5737703
254,scenario_29,2552.964667435659,2552.964667435659,5105.929334871318,62583.68395588378,67689.61329075508,True,22140144.34718447,1107007217.3592236
557,scenario_29,2079.729322903408,2079.729322903408,4159.458645806816,62275.50641248556,66434.96505829238,True,21729769.8211498,1086488491.05749
152,scenario_29,2068.3857365596705,2068.385736559667,4136.771473119337,55632.362264155294,59769.13373727456,True,19549487.493233558,977474374.6616776
9,scenario_29,2272.433878836113,2272.433878836113,4544.867757672226,54187.72680882178,58732.59456649399,True,19210452.80612408,960522640.3062038
334,scenario_19,376.83987494139,376.83987494139,753.67974988278,47327.04820259195,48080.72795247473,True,15726404.767788608,786320238.3894304
813,scenario_19,1149.3094241091203,1149.309424109124,2298.6188482182442,36138.972854227526,38437.59170244564,True,12572295.619341595,628614780.9670798
423,scenario_19,201.4885456147749,201.4885456147749,402.9770912295498,33686.304955527885,34089.282046757406,True,11150036.002793567,557501800.1396784
0,scenario_19,231.7312512199096,231.73125121991325,463.46250243982286,33207.8019842424,33671.2644866819,True,11013309.425852206,550665471.2926103
669,scenario_19,114.56106776160595,114.56106776160595,229.1221355232119,31898.89436371508,32128.01649923832,True,10508538.7299592,525426936.49796
938,scenario_19,782.993212774174,782.993212774174,1565.986425548348,28640.790614379803,30206.77703992813,True,9880133.323476491,494006666.17382455
28,scenario_19,1069.272093011783,1069.2720930117794,2138.5441860235624,26422.416563859675,28560.960749883205,True,9341814.245274298,467090712.2637149
176,scenario_19,15.316774087961676,15.316774087965314,30.63354817592699,25895.1086954386,25925.742243614517,True,8479878.192182247,423993909.6091123
15,scenario_19,146.95863758257838,146.95863758257838,293.91727516515675,23616.173839398198,23910.0911145634,True,7820592.302055112,391029615.1027556
334,scenario_30,376.83987497006456,376.83987497006456,753.6797499401291,20249.64996741293,21003.329717352983,True,6869839.095050872,343491954.7525436
761,scenario_19,33.35173615741223,33.35173615741223,66.70347231482447,19497.780243615387,19564.48371593025,True,6399216.548752187,319960827.4376093
813,scenario_30,1149.3094249301976,1149.3094249301903,2298.618849860388,13679.4746589571,15978.093508817605,True,5226168.085175758,261308404.2587879
540,scenario_19,326.15483488973405,326.15483488973405,652.3096697794681,14893.701714014402,15546.01138379355,True,5084841.22344914,254242061.17245695
